,molecule_chembl_id,units,IC50,smiles,pIC50
102,CHEMBL496690,nM,6,NC[C@H](Cc1ccc(F)cc1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34,8.221848749616356
103,CHEMBL594933,nM,6.0,Cc1n[nH]c2cnc(cc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3c6cocc6,8.221848749616356
104,CHEMBL388978,nM,6.5,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,8.187086643357144
105,CHEMBL3701731,nM,6.5,NC1(CCC1)c2ccc(cc2)c3nc4c5ccccc5OCn4c3c6ccncc6,8.187086643357144
106,CHEMBL383264,nM,6.8,N[C@H](COc1cncc(c1)c2ccc3cnccc3c2)Cc4c[nH]c5ccccc45,8.167491087293763
107,CHEMBL603882,nM,7,NC1(Cc2ccc3ccccc3c2)CCN(CC1)c4ncnc5[nH]ccc45,8.154901959985743
108,CHEMBL3672063,nM,7,Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6ncc(Br)n6cc5c7ccc(F)cc7)CC3,8.154901959985743
109,CHEMBL605410,nM,7.0,Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c(C#N)[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6n5,8.154901959985743
110,CHEMBL3703105,nM,7,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6cccnc6,8.154901959985743
111,CHEMBL259998,nM,7,NC1(CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,8.154901959985743
112,CHEMBL3701757,nM,7,CCC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5nccnc5OCn4c3c6ccccc6,8.154901959985743
113,CHEMBL407504,nM,7,NC1(CCN(CC1)c2ncnc3[nH]cnc23)c4ccc(Cl)cc4,8.154901959985743
114,CHEMBL604910,nM,7,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4cccc(Cl)c4,8.154901959985743
115,CHEMBL597793,nM,8,NC1(COCc2ccc(Cl)cc2)CCN(CC1)c3ncnc4[nH]ccc34,8.096910013008056
116,CHEMBL498052,nM,8,NC[C@H](Cc1ccccc1F)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34,8.096910013008056
117,CHEMBL2325741,nM,8,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)N[C@@H](CCO)c4ccc(Cl)cc4,8.096910013008056
118,CHEMBL1794065,nM,8.0,CCn1c(nc2c(ncc(OCC3CCNCC3)c12)C#CC(C)(C)O)c4nonc4N.OC(=O)C(F)(F)F,8.096910013008056
119,CHEMBL406863,nM,8,NCC1(CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,8.096910013008056
120,CHEMBL604507,nM,8,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(F)cc4Cl,8.096910013008056
121,CHEMBL1794066,nM,8.0,CCn1c(nc2c(ncc(OC3CCNCC3)c12)C#CC(C)(C)O)c4nonc4N.OC(=O)C(F)(F)F,8.096910013008056
122,CHEMBL228755,nM,8,CC(=O)NCc1c[nH]c(c1)\C(=C\2/C(=O)Nc3ccc(NC(=O)N)cc23)\C,8.096910013008056
123,CHEMBL488428,nM,8,O=C1NC=C(C=C1)c2nnc([nH]2)C3CCN(Cc4ccc(cc4)c5nc6C=CNC(=O)c6cc5c7ccccc7)CC3,8.096910013008056
124,CHEMBL3672046,nM,8,Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(C)nn6c(C)c5c7ccccc7)C3,8.096910013008056
125,CHEMBL375236,nM,8,NC(=O)Nc1ccc2NC(=O)\C(=C/c3cc(c[nH]3)c4cccnc4)\c2c1,8.096910013008056
126,CHEMBL3703104,nM,8,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6ccncc6,8.096910013008056
127,CHEMBL3703108,nM,8,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6ncc[nH]6,8.096910013008056
128,CHEMBL374611,nM,8,CC(=O)Nc1cccc(c1)c2c[nH]c(\C=C\3/C(=O)Nc4ccc(NC(=O)N)cc34)c2,8.096910013008056
129,CHEMBL597414,nM,8.5,NC1(Cc2ccc(Cl)cc2Cl)CCN(CC1)c3ncnc4[nH]ccc34,8.070581074285707
130,CHEMBL3672012,nM,9,C(N1CCC(CC1)c2cnc3ccccc3n2)c4ccc(cc4)c5nc6nccn6cc5c7ccccc7,8.045757490560675
131,CHEMBL3699676,nM,9,COc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)C(=O)N,8.045757490560675
132,CHEMBL1171647,nM,9,CCc1c[nH]c2ncnc(N3CC[C@](N)(CNC(=O)c4ccc(F)cc4F)C3)c12,8.045757490560675
133,CHEMBL493269,nM,9.0,CCn1c(nc2c(ncc(OCCCCN)c12)C#CC(C)(C)O)c3nonc3N,8.045757490560675
134,CHEMBL3703111,nM,9,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6nn[nH]n6,8.045757490560675
135,CHEMBL523586,nM,9,NC[C@H](Cc1cccc(F)c1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34,8.045757490560675
136,CHEMBL228648,nM,9,NC(=O)Nc1ccc2NC(=O)\C(=C/c3cc(c[nH]3)C(=O)O)\c2c1,8.045757490560675
137,CHEMBL228649,nM,9,Cc1c(\C=C\2/C(=O)Nc3ccc(NC(=O)N)cc23)[nH]cc1C(=O)O,8.045757490560675
138,CHEMBL448991,nM,9,CN1CC(C1)N2CCN(CC2)c3ncc4cc(c5ccccc5)c(nc4n3)c6ccc(CN7CCC(CC7)c8nnc([nH]8)c9ccccn9)cc6,8.045757490560675
139,CHEMBL226712,nM,9.0,NC(c1ccc(Cl)cc1)c2ccc(cc2)c3ncnc4[nH]cnc34,8.045757490560675
140,CHEMBL2177367,nM,10,CO[C@@H]1CC[C@H](CC1)NC[C@@H](C(=O)N2CCN(CC2)c3ncnc4[C@H](O)C[C@@H](C)c34)c5ccc(Cl)cc5,8.0
141,CHEMBL470597,nM,10,NC[C@H](Cc1ccccc1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34,8.0
142,CHEMBL3672041,nM,10,Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(nn6cc5c7ccccc7)C8CC8)C3,8.0
143,CHEMBL1098938,nM,10,CCn1c(nc2c(nc(OC[C@H](N)Cc3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N,8.0
144,CHEMBL482536,nM,10,NC[C@H](Cc1cccc(c1)C(F)(F)F)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34,8.0
145,CHEMBL228705,nM,10,C\C(=C/1\C(=O)Nc2ccc(NC(=O)N)cc12)\c3cc(CN)c[nH]3,8.0
